Kd_Kec,Kd_Desa,Nama_Desa
"01","01.2010.","PEMERINTAH DESA CITALANG"
"02","02.2001.","PEMERINTAH DESA CAMPAKA"
"02","02.2002.","PEMERINTAH DESA CAMPAKASARI"
"02","02.2003.","PEMERINTAH DESA BENTENG"
"02","02.2004.","PEMERINTAH DESA CIRENDE"
"02","02.2005.","PEMERINTAH DESA CIKUMPAY"
"02","02.2006.","PEMERINTAH DESA CIJAYA"
"02","02.2007.","PEMERINTAH DESA KERTAMUKTI"
"02","02.2008.","PEMERINTAH DESA CIMAHI"
"02","02.2009.","PEMERINTAH DESA CIJUNTI"
"02","02.2010.","PEMERINTAH DESA CISAAT"
"03","03.2001.","PEMERINTAH DESA CIKAOBANDUNG"
"03","03.2002.","PEMERINTAH DESA JATIMEKAR"
"03","03.2003.","PEMERINTAH DESA JATILUHUR"
"03","03.2004.","PEMERINTAH DESA CILEGONG"
"03","03.2005.","PEMERINTAH DESA KEMBANGKUNING"
"03","03.2006.","PEMERINTAH DESA CIBINONG"
"03","03.2007.","PEMERINTAH DESA BUNDER"
"03","03.2008.","PEMERINTAH DESA MEKARGALIH"
"03","03.2009.","PEMERINTAH DESA CISALADA"
"03","03.2010.","PEMERINTAH DESA PARAKANLIMA"
"04","04.2001.","PEMERINTAH DESA PLERED"
"04","04.2002.","PEMERINTAH DESA PALINGGIHAN"
"04","04.2003.","PEMERINTAH DESA CIBOGOHILIR"
"04","04.2004.","PEMERINTAH DESA LINGGARSARI"
"04","04.2005.","PEMERINTAH DESA GANDASOLI"
"04","04.2006.","PEMERINTAH DESA CITEKO"
"04","04.2007.","PEMERINTAH DESA LIUNGGUNUNG"
"04","04.2008.","PEMERINTAH DESA RAWASARI"
"04","04.2009.","PEMERINTAH DESA ANJUN"
"04","04.2010.","PEMERINTAH DESA SINDANGSARI"
"04","04.2011.","PEMERINTAH DESA BABAKANSARI"
"04","04.2012.","PEMERINTAH DESA GANDAMEKAR"
"04","04.2013.","PEMERINTAH DESA CITEKOKALER"
"04","04.2014.","PEMERINTAH DESA PAMOYANAN"
"04","04.2015.","PEMERINTAH DESA SEMPUR"
"04","04.2016.","PEMERINTAH DESA CIBOGO GIRANG"
"05","05.2001.","PEMERINTAH DESA SUKATANI"
"05","05.2002.","PEMERINTAH DESA MALANGNENGAH"
"05","05.2003.","PEMERINTAH DESA CILALAWI"
"05","05.2004.","PEMERINTAH DESA SUKAMAJU"
"05","05.2005.","PEMERINTAH DESA CIPICUNG"
"05","05.2006.","PEMERINTAH DESA CIANTING UTARA"
"05","05.2007.","PEMERINTAH DESA CIANTING"
"05","05.2008.","PEMERINTAH DESA PASIRMUNJUL"
"05","05.2009.","PEMERINTAH DESA TAJURSINDANG"
"05","05.2010.","PEMERINTAH DESA CIBODAS"
"05","05.2011.","PEMERINTAH DESA CIJANTUNG"
"05","05.2012.","PEMERINTAH DESA SUKAJAYA"
"05","05.2013.","PEMERINTAH DESA PANYINDANGAN"
"05","05.2014.","PEMERINTAH DESA SINDANGLAYA"
"06","06.2001.","PEMERINTAH DESA DARANGDAN"
"06","06.2002.","PEMERINTAH DESA DEPOK"
"06","06.2003.","PEMERINTAH DESA CILINGGA"
"06","06.2004.","PEMERINTAH DESA NANGEWER"
"06","06.2005.","PEMERINTAH DESA MEKARSARI"
"06","06.2006.","PEMERINTAH DESA LINGGASARI"
"06","06.2007.","PEMERINTAH DESA SAWIT"
"06","06.2008.","PEMERINTAH DESA LINGGAMUKTI"
"06","06.2009.","PEMERINTAH DESA GUNUNGHEJO"
"06","06.2010.","PEMERINTAH DESA PASIRANGIN"
"06","06.2011.","PEMERINTAH DESA LEGOKSARI"
"06","06.2012.","PEMERINTAH DESA SIRNAMANAH"
"06","06.2013.","PEMERINTAH DESA SADARKARYA"
"06","06.2014.","PEMERINTAH DESA NEGLASARI"
"06","06.2015.","PEMERINTAH DESA NAGRAK"
"07","07.2001.","PEMERINTAH DESA GUNUNGKARUNG"
"07","07.2002.","PEMERINTAH DESA CITAMIANG"
"07","07.2003.","PEMERINTAH DESA SINARGALIH"
"07","07.2004.","PEMERINTAH DESA TEGALDATAR"
"07","07.2005.","PEMERINTAH DESA CIJATI"
"07","07.2006.","PEMERINTAH DESA CIRAMAHILIR"
"07","07.2007.","PEMERINTAH DESA SUKAMUKTI"
"07","07.2008.","PEMERINTAH DESA PASIRJAMBU"
"08","08.2001.","PEMERINTAH DESA BATUTUMPANG"
"08","08.2002.","PEMERINTAH DESA CITALANG"
"08","08.2003.","PEMERINTAH DESA TEGALWARU"
"08","08.2004.","PEMERINTAH DESA TEGALSARI"
"08","08.2005.","PEMERINTAH DESA WARUNGJERUK"
"08","08.2006.","PEMERINTAH DESA GALUMPIT"
"08","08.2007.","PEMERINTAH DESA SUKAHAJI"
"08","08.2008.","PEMERINTAH DESA KAROYA"
"08","08.2009.","PEMERINTAH DESA CADASSARI"
"08","08.2010.","PEMERINTAH DESA CADASMEKAR"
"08","08.2011.","PEMERINTAH DESA CISARUA"
"08","08.2012.","PEMERINTAH DESA SUKAMULYA"
"08","08.2013.","PEMERINTAH DESA PASANGGRAHAN"
"09","09.2001.","PEMERINTAH DESA WANAYASA"
"09","09.2002.","PEMERINTAH DESA SUKADAMI"
"09","09.2003.","PEMERINTAH DESA WANASARI"
"09","09.2004.","PEMERINTAH DESA SIMPANG"
"09","09.2005.","PEMERINTAH DESA NAGROG"
"09","09.2006.","PEMERINTAH DESA CIBUNTU"
"09","09.2007.","PEMERINTAH DESA BABAKAN"
"09","09.2008.","PEMERINTAH DESA NANGERANG"
"09","09.2009.","PEMERINTAH DESA CIAWI"
"09","09.2010.","PEMERINTAH DESA SUMURUGUL"
"09","09.2011.","PEMERINTAH DESA RAHARJA"
"09","09.2012.","PEMERINTAH DESA SAKAMBANG"
"09","09.2013.","PEMERINTAH DESA TARINGGUL TONGGOH"
"09","09.2014.","PEMERINTAH DESA LEGOKHUNI"
"09","09.2015.","PEMERINTAH DESA TARINGGUL TENGAH"
"10","10.2001.","PEMERINTAH DESA PASAWAHANANYAR"
