Akun,Kelompok,Nama_Kelompok
"1.","1.1.","Aset Lancar"
"1.","1.2.","Investasi"
"1.","1.3.","Aset Tetap"
"1.","1.4.","Dana Cadangan"
"1.","1.5.","Aset Tidak Lancar Lainnya"
"2.","2.1.","Kewajiban Jangka Pendek"
"3.","3.1.","Ekuitas"
"4.","4.1.","Pendapatan Asli Desa"
"4.","4.2.","Pendapatan Transfer"
"4.","4.3.","Pendapatan Lain-lain"
"5.","5.1.","Belanja Pegawai"
"5.","5.2.","Belanja Barang dan Jasa"
"5.","5.3.","Belanja Modal"
"5.","5.4.","Belanja Tidak Terduga"
"6.","6.1.","Penerimaan Pembiayaan"
"6.","6.2.","Pengeluaran Pembiayaan"
"7.","7.1.","Perhitungan Fihak Ketiga"
