Jenis,Obyek,Nama_Obyek,Peraturan
"1.1.1.","1.1.1.01.","Kas di Bendahara Desa",
"1.1.1.","1.1.1.02.","Rekening Kas Desa",
"1.1.2.","1.1.2.01.","Piutang Sewa Tanah",
"1.1.2.","1.1.2.02.","Piutang Sewa Gedung",
"1.1.2.","1.1.2.03.","Piutang Sewa Peralatan",
"1.1.2.","1.1.2.04.","Piutang Bagi Hasil Pajak",
"1.1.2.","1.1.2.05.","Piutang Bagi Hasil Retribusi",
"1.1.2.","1.1.2.06.","Piutang Alokasi Dana Desa",
"1.1.2.","1.1.2.07.","Piutang Panjar Kegiatan",
"1.1.2.","1.1.2.08.","Piutang Lain-lain",
"1.1.3.","1.1.3.01.","Persediaan Benda Pos dan Materai",
"1.1.3.","1.1.3.02.","Persediaan Alat Tulis Kantor",
"1.1.3.","1.1.3.03.","Persediaan Blangko dan Barang Cetakan",
"1.1.3.","1.1.3.04.","Persediaan Alat-Alat Listrik/Lampu/Batterai",
"1.1.3.","1.1.3.05.","Persediaan Bahan/Material",
"1.1.3.","1.1.3.06.","Persediaan Alat-alat Kebersihan/Bahan Pembersih",
"1.1.3.","1.1.3.07.","Persediaan Bibit Hewan/Tanaman",
"1.1.3.","1.1.3.08.","Persediaan Barang Untuk Dihibahkan kepada Masyarakat",
"1.2.1.","1.2.1.01.","Penyertaan Modal Pemerintah Desa",
"1.3.1.","1.3.1.01.","Tanah Kas Desa",
"1.3.1.","1.3.1.02.","Tanah Perkampungan",
"1.3.1.","1.3.1.03.","Tanah Pertanian",
"1.3.1.","1.3.1.04.","Tanah Perkebunan",
"1.3.1.","1.3.1.05.","Tanah Hutan",
"1.3.1.","1.3.1.06.","Tanah Kebun Campuran",
"1.3.1.","1.3.1.07.","Tanah Kolam Ikan",
"1.3.1.","1.3.1.08.","Tanah Danau/Rawa",
"1.3.1.","1.3.1.09.","Tanah Tandus/Rusak",
"1.3.1.","1.3.1.10.","Tanah Alang-alang dan Padang Rumput",
"1.3.1.","1.3.1.11.","Tanah Pertambangan",
"1.3.1.","1.3.1.12.","Tanah Untuk Bangunan Gedung",
"1.3.1.","1.3.1.13.","Tanah Untuk Bangunan Bukan Gedung",
"1.3.1.","1.3.1.14.","Tanah Penggunaan Lainnya",
"1.3.2.","1.3.2.01.","Alat Besar",
"1.3.2.","1.3.2.02.","Alat Angkutan",
"1.3.2.","1.3.2.03.","Alat Bengkel dan Alat Ukur",
"1.3.2.","1.3.2.04.","Alat Pertanian dan Perikanan",
"1.3.2.","1.3.2.05.","Alat Kantor dan Rumah Tangga",
"1.3.2.","1.3.2.06.","Alat Studio, Komunikasi dan Pemancar",
"1.3.2.","1.3.2.07.","Komputer",
"1.3.2.","1.3.2.08.","Alat Pengeboran",
"1.3.2.","1.3.2.09.","Alat Produksi, Pengolahan dan Pemurnian",
"1.3.2.","1.3.2.10.","Peralatan Olah Raga",
"1.3.2.","1.3.2.11.","Peralatan dan Mesin Lainnya",
"1.3.3.","1.3.3.01.","Bangunan Gedung Kantor",
"1.3.3.","1.3.3.02.","Bangunan Gudang",
"1.3.3.","1.3.3.03.","Bangunan Gedung Bengkel",
"1.3.3.","1.3.3.04.","Bangunan Gedung Instalasi",
"1.3.3.","1.3.3.05.","Bangunan Gedung Laboratorium",
"1.3.3.","1.3.3.06.","Bangunan Kesehatan",
"1.3.3.","1.3.3.07.","Bangunan Gedung Tempat Ibadah",
"1.3.3.","1.3.3.08.","Bangunan Gedung Pertemuan",
"1.3.3.","1.3.3.09.","Bangunan Gedung Tempat Pendidikan",
"1.3.3.","1.3.3.10.","Bangunan Gedung Tempat Olahraga",
"1.3.3.","1.3.3.11.","Bangunan Gedung Pertokoan/Koperasi/Pasar",
"1.3.3.","1.3.3.12.","Bangunan Gedung Garasi/Pool",
"1.3.3.","1.3.3.13.","Bangunan Gedung Pemotongan Hewan",
"1.3.3.","1.3.3.14.","Bangunan Gedung Perpustakaan",
"1.3.3.","1.3.3.15.","Bangunan Gedung Museum",
"1.3.3.","1.3.3.16.","Bangunan Gedung Terminal/Pelabuhan",
