KdRek1,KdRek2,Nama_Kelompok
"1","1.01.","BARANG PAKAI HABIS"
"1","1.02.","BARANG TAK HABIS PAKAI"
"1","1.03.","BARANG BEKAS DIPAKAI"
"2","2.01.","TANAH"
"3","3.01.","ALAT BESAR"
"3","3.02.","ALAT ANGKUTAN"
"3","3.03.","ALAT BENGKEL DAN ALAT UKUR"
"3","3.04.","ALAT PERTANIAN"
"3","3.05.","ALAT KANTOR DAN RUMAH TANGGA"
"3","3.06.","ALAT STUDIO, KOMUNIKASI DAN PEMANCAR"
"3","3.07.","KOMPUTER"
"3","3.08.","ALAT PENGEBORAN"
"3","3.09.","ALAT PRODUKSI, PENGOLAHAN DAN PEMURNIAN"
"3","3.10.","PERALATAN OLAH RAGA"
"4","4.01.","BANGUNAN GEDUNG"
"4","4.02.","MONUMEN"
"5","5.01.","JALAN DAN JEMBATAN"
"5","5.02.","BANGUNAN AIR"
"5","5.03.","INSTALASI"
"5","5.04.","JARINGAN"
"6","6.01.","BAHAN PERPUSTAKAAN"
"6","6.02.","BARANG BERCORAK KESENIAN/KEBUDAYAAN/OLAHRAGA"
"6","6.03.","HEWAN"
"6","6.04.","IKAN"
"6","6.05.","TANAMAN"
"6","6.06.","ASET TETAP DALAM RENOVASI"
"7","7.01.","KONSTRUKSI DALAM PENGERJAAN"
"8","8.01.","ASET TIDAK BERWUJUD"
"8","8.02.","ASET TIDAK BERWUJUD DALAM PENGERJAAN"
