KdRek2,KdRek3,Nama_Jenis
"1.01.","1.01.01.","BAHAN"
"1.01.","1.01.02.","SUKU CADANG"
"1.01.","1.01.03.","ALAT/BAHAN UNTUK KEGIATAN KANTOR"
"1.01.","1.01.04.","OBAT-OBATAN"
"1.01.","1.01.05.","PERSEDIAAN UNTUK DIJUAL/DISERAHKAN"
"1.01.","1.01.06.","PERSEDIAAN UNTUK TUJUAN STRATEGIS/BERJAGA-JAGA"
"1.01.","1.01.07.","NATURA DAN PAKAN"
"1.01.","1.01.08.","PERSEDIAAN PENELITIAN BIOLOGI"
"1.02.","1.02.01.","KOMPONEN"
"1.02.","1.02.02.","PIPA"
"1.02.","1.02.03.","RAMBU-RAMBU"
"1.03.","1.03.01.","KOMPONEN BEKAS DAN PIPA BEKAS"
"2.01.","2.01.01.","TANAH KAS DESA"
"2.01.","2.01.02.","TANAH PERKAMPUNGAN"
"2.01.","2.01.03.","TANAH PERTANIAN"
"2.01.","2.01.04.","TANAH PERKEBUNAN"
"2.01.","2.01.05.","TANAH HUTAN"
"2.01.","2.01.06.","TANAH KEBUN CAMPURAN"
"2.01.","2.01.07.","TANAH KOLAM IKAN"
"2.01.","2.01.08.","TANAH DANAU / RAWA"
"2.01.","2.01.09.","TANAH TANDUS / RUSAK"
"2.01.","2.01.10.","TANAH ALANG-ALANG DAN PADANG RUMPUT"
"2.01.","2.01.11.","TANAH PERTAMBANGAN"
"2.01.","2.01.12.","TANAH UNTUK BANGUNAN GEDUNG"
"2.01.","2.01.13.","TANAH UNTUK BANGUNAN BUKAN GEDUNG"
"2.01.","2.01.14.","TANAH PENGGUNAAN LAINNYA"
"3.01.","3.01.01.","ALAT BESAR DARAT"
"3.01.","3.01.02.","ALAT BESAR APUNG"
"3.01.","3.01.03.","ALAT BANTU"
"3.02.","3.02.01.","ALAT ANGKUTAN DARAT BERMOTOR"
"3.02.","3.02.02.","ALAT ANGKUTAN DARAT TAK BERMOTOR"
"3.02.","3.02.03.","ALAT ANGKUTAN APUNG BERMOTOR"
"3.02.","3.02.04.","ALAT ANGKUTAN APUNG TAK BERMOTOR"
"3.03.","3.03.01.","ALAT BENGKEL BERMESIN"
"3.03.","3.03.02.","ALAT BENGKEL TAK BERMESIN"
"3.03.","3.03.03.","ALAT UKUR"
"3.04.","3.04.01.","ALAT PENGOLAHAN"
"3.05.","3.05.01.","ALAT KANTOR"
"3.05.","3.05.02.","ALAT RUMAH TANGGA"
"3.06.","3.06.01.","ALAT STUDIO"
"3.06.","3.06.02.","ALAT KOMUNIKASI"
"3.06.","3.06.03.","PERALATAN PEMANCAR"
"3.06.","3.06.04.","PERALATAN KOMUNIKASI NAVIGASI"
"3.07.","3.07.01.","KOMPUTER UNIT"
"3.07.","3.07.02.","PERALATAN KOMPUTER"
"3.08.","3.08.01.","ALAT PENGEBORAN MESIN"
"3.08.","3.08.02.","ALAT PENGEBORAN NON MESIN"
"3.09.","3.09.01.","SUMUR"
"3.09.","3.09.02.","PRODUKSI"
"3.09.","3.09.03.","PENGOLAHAN DAN PEMURNIAN"
"3.10.","3.10.01.","PERALATAN OLAH RAGA"
