KdRek3,KdRek4,Nama_Obyek,KdRek13
"1.01.01.","1.01.01.01.","BAHAN BANGUNAN DAN KONSTRUKSI",
"1.01.01.","1.01.01.02.","BAHAN KIMIA",
"1.01.01.","1.01.01.03.","BAHAN PELEDAK",
"1.01.01.","1.01.01.04.","BAHAN BAKAR DAN PELUMAS",
"1.01.01.","1.01.01.05.","BAHAN BAKU",
"1.01.01.","1.01.01.06.","BARANG DALAM PROSES",
"1.01.01.","1.01.01.99.","BAHAN LAINNYA",
"1.01.02.","1.01.02.01.","SUKU CADANG ALAT ANGKUTAN",
"1.01.02.","1.01.02.02.","SUKU CADANG ALAT BESAR",
"1.01.02.","1.01.02.03.","SUKU CADANG ALAT KEDOKTERAN",
"1.01.02.","1.01.02.04.","SUKU CADANG ALAT LABORATORIUM",
"1.01.02.","1.01.02.05.","SUKU CADANG ALAT PEMANCAR",
"1.01.02.","1.01.02.06.","SUKU CADANG ALAT STUDIO DAN KOMUNIKASI",
"1.01.02.","1.01.02.07.","SUKU CADANG ALAT PERTANIAN",
"1.01.02.","1.01.02.08.","SUKU CADANG ALAT BENGKEL",
"1.01.02.","1.01.02.99.","SUKU CADANG LAINNYA",
"1.01.03.","1.01.03.01.","ALAT TULIS KANTOR",
"1.01.03.","1.01.03.02.","KERTAS DAN COVER",
"1.01.03.","1.01.03.03.","BAHAN CETAK",
"1.01.03.","1.01.03.04.","BAHAN KOMPUTER",
"1.01.03.","1.01.03.05.","PERABOT KANTOR",
"1.01.03.","1.01.03.06.","ALAT LISTRIK",
"1.01.03.","1.01.03.07.","PERLENGKAPAN DINAS",
"1.01.03.","1.01.03.99.","ALAT/BAHAN UNTUK KEGIATAN KANTOR LAINNYA",
"1.01.04.","1.01.04.01.","OBAT",
"1.01.05.","1.01.05.01.","PERSEDIAAN UNTUK DIJUAL/DISERAHKAN KEPADA MASYARAKAT",
"1.01.06.","1.01.06.01.","PERSEDIAAN UNTUK TUJUAN STRATEGIS/BERJAGA-JAGA",
"1.01.07.","1.01.07.01.","NATURA",
"1.01.07.","1.01.07.02.","PAKAN",
"1.01.07.","1.01.07.99.","NATURA DAN PAKAN LAINNYA",
"1.01.08.","1.01.08.01.","PERSEDIAAN PENELITIAN BIOLOGI",
"1.02.01.","1.02.01.01.","KOMPONEN JEMBATAN BAJA",
"1.02.01.","1.02.01.02.","KOMPONEN JEMBATAN PRATEKAN",
"1.02.01.","1.02.01.03.","KOMPONEN PERALATAN",
"1.02.01.","1.02.01.04.","KOMPONEN RAMBU-RAMBU",
"1.02.01.","1.02.01.05.","ATTACHMENT",
"1.02.01.","1.02.01.99.","KOMPONEN LAINNYA",
"1.02.02.","1.02.02.01.","PIPA AIR BESI TUANG (DCI)",
"1.02.02.","1.02.02.02.","PIPA ASBES SEMEN (ACP)",
"1.02.02.","1.02.02.03.","PIPA BAJA",
"1.02.02.","1.02.02.04.","PIPA BETON PRATEKAN",
"1.02.02.","1.02.02.05.","PIPA FIBER GLASS",
"1.02.02.","1.02.02.06.","PIPA PLASTIK PVC (UPVC)",
"1.02.02.","1.02.02.99.","PIPA LAINNYA",
"1.02.03.","1.02.03.01.","RAMBU-RAMBU",
"1.03.01.","1.03.01.01.","KOMPONEN BEKAS",
"1.03.01.","1.03.01.02.","PIPA BEKAS",
"1.03.01.","1.03.01.99.","KOMPONEN BEKAS DAN PIPA BEKAS LAINNYA",
"2.01.01.","2.01.01.01.","TANAH BENGKOK",
"2.01.01.","2.01.01.02.","TANAH BONDO",
"2.01.01.","2.01.01.03.","TANAH KALAKERAN NEGERI",
"2.01.01.","2.01.01.04.","TANAH PECATU",
"2.01.01.","2.01.01.05.","TANAH PENGAREM-AREM",
"2.01.01.","2.01.01.06.","TANAH TITISARA",
"2.01.02.","2.01.02.01.","TANAH PERKAMPUNGAN",
"2.01.02.","2.01.02.02.","EMPLASMEN",
"2.01.02.","2.01.02.03.","TANAH KUBURAN",
"2.01.03.","2.01.03.01.","SAWAH SATU TAHUN DITANAMI",
"2.01.03.","2.01.03.02.","TANAH KERING/TEGALAN",
"2.01.03.","2.01.03.03.","LADANG",
"2.01.04.","2.01.04.01.","TANAH PERKEBUNAN",
"2.01.05.","2.01.05.01.","TANAH HUTAN LEBAT (DITANAMI JENIS KAYU UTAMA)",
"2.01.05.","2.01.05.02.","TANAH HUTAN BELUKAR",
"2.01.05.","2.01.05.03.","HUTAN TANAMAN JENIS",
"2.01.05.","2.01.05.04.","HUTAN ALAM SEJENIS/HUTAN RAWA",
"2.01.05.","2.01.05.05.","HUTAN UNTUK PENGGUNAAN KHUSUS",
"2.01.06.","2.01.06.01.","TANAH YANG TIDAK ADA JARINGAN PENGAIRAN",
"2.01.06.","2.01.06.02.","TUMBUH LIAR BERCAMPUR JENIS LAIN",
"2.01.07.","2.01.07.01.","TAMBAK",
"2.01.07.","2.01.07.02.","AIR TAWAR",
"2.01.08.","2.01.08.01.","RAWA",
"2.01.08.","2.01.08.02.","DANAU",
"2.01.09.","2.01.09.01.","TANAH TANDUS",
"2.01.09.","2.01.09.02.","TANAH RUSAK",
"2.01.10.","2.01.10.01.","ALANG-ALANG",
"2.01.10.","2.01.10.02.","PADANG RUMPUT",
"2.01.11.","2.01.11.01.","TANAH PERTAMBANGAN",
"2.01.12.","2.01.12.01.","TANAH BANGUNAN PERUMAHAN/GDG. TEMPAT TINGGAL",
"2.01.12.","2.01.12.02.","TANAH UNTUK BANGUNAN GEDUNG PERDAGANGAN",
"2.01.12.","2.01.12.03.","TANAH UNTUK BANGUNAN INDUSTRI",
"2.01.12.","2.01.12.04.","TANAH UNTUK BANGUNAN TEMPAT KERJA/JASA",
"2.01.12.","2.01.12.05.","TANAH KOSONG",
"2.01.12.","2.01.12.06.","TANAH PETERNAKAN",
"2.01.12.","2.01.12.07.","TANAH BANGUNAN PENGAIRAN",
"2.01.12.","2.01.12.08.","TANAH BANGUNAN JALAN DAN JEMBATAN",
"2.01.12.","2.01.12.09.","TANAH LEMBIRAN/BANTARAN/LEPE-LEPE/SETREN DST",
"2.01.13.","2.01.13.01.","TANAH LAPANGAN OLAH RAGA",
"2.01.13.","2.01.13.02.","TANAH LAPANGAN PARKIR",
"2.01.13.","2.01.13.03.","TANAH LAPANGAN PENIMBUN BARANG",
"2.01.13.","2.01.13.04.","TANAH LAPANGAN PEMANCAR DAN STUDIO ALAM",
"2.01.13.","2.01.13.05.","TANAH LAPANGAN PENGUJIAN/PENGOLAHAN",
"2.01.13.","2.01.13.06.","TANAH LAPANGAN TERBANG",
"2.01.13.","2.01.13.07.","TANAH UNTUK BANGUNAN JALAN",
"2.01.13.","2.01.13.08.","TANAH UNTUK BANGUNAN AIR",
"2.01.13.","2.01.13.09.","TANAH UNTUK BANGUNAN INSTALASI",
"2.01.13.","2.01.13.10.","TANAH UNTUK BANGUNAN JARINGAN",
"2.01.13.","2.01.13.11.","TANAH UNTUK BANGUNAN BERSEJARAH",
"2.01.13.","2.01.13.12.","TANAH UNTUK BANGUNAN GEDUNG OLAH RAGA",
"2.01.13.","2.01.13.13.","TANAH UNTUK BANGUNAN TEMPAT IBADAH",
"2.01.14.","2.01.14.01.","PENGGALIAN",
"3.01.01.","3.01.01.01.","TRACTOR",
"3.01.01.","3.01.01.02.","GRADER",
"3.01.01.","3.01.01.03.","EXCAVATOR",
"3.01.01.","3.01.01.04.","PILE DRIVER",
"3.01.01.","3.01.01.05.","HAULER",
"3.01.01.","3.01.01.06.","ASPHALT EQUIPMENT",
"3.01.01.","3.01.01.07.","COMPACTING EQUIPMENT",
"3.01.01.","3.01.01.08.","AGGREGATE & CONCRETE EQUIPMENT",
"3.01.01.","3.01.01.09.","LOADER",
"3.01.01.","3.01.01.10.","ALAT PENGANGKAT",
"3.01.01.","3.01.01.11.","MESIN PROSES",
