KdRek4,KdRek5,Nama_Rincian
"1.01.01.01.","1.01.01.01.001.","Aspal"
"1.01.01.01.","1.01.01.01.002.","Semen"
"1.01.01.01.","1.01.01.01.003.","Kaca"
"1.01.01.01.","1.01.01.01.004.","Pasir"
"1.01.01.01.","1.01.01.01.005.","Batu"
"1.01.01.01.","1.01.01.01.006.","Cat"
"1.01.01.01.","1.01.01.01.007.","Seng"
"1.01.01.01.","1.01.01.01.008.","Baja"
"1.01.01.01.","1.01.01.01.009.","Electro Dalas"
"1.01.01.01.","1.01.01.01.010.","Patok Beton"
"1.01.01.01.","1.01.01.01.011.","Tiang Beton"
"1.01.01.01.","1.01.01.01.012.","Besi Beton"
"1.01.01.01.","1.01.01.01.013.","Tegel"
"1.01.01.01.","1.01.01.01.014.","Genteng"
"1.01.01.01.","1.01.01.01.015.","Bis Beton"
"1.01.01.01.","1.01.01.01.016.","Plat"
"1.01.01.01.","1.01.01.01.017.","Steel Sheet Pile"
"1.01.01.01.","1.01.01.01.018.","Concrete Sheet Pile"
"1.01.01.01.","1.01.01.01.019.","Kawat Bronjong"
"1.01.01.01.","1.01.01.01.020.","Karung"
"1.01.01.01.","1.01.01.01.021.","Minyak Cat/Thinner"
"1.01.01.01.","1.01.01.01.999.","Bahan Bangunan Dan Konstruksi Lainnya"
"1.01.01.02.","1.01.01.02.001.","Bahan Kimia Padat"
"1.01.01.02.","1.01.01.02.002.","Bahan Kimia Cair"
"1.01.01.02.","1.01.01.02.003.","Bahan Kimia Gas"
"1.01.01.02.","1.01.01.02.999.","Bahan Kimia Lainnya"
"1.01.01.03.","1.01.01.03.001.","Anfo"
"1.01.01.03.","1.01.01.03.002.","Detonator"
"1.01.01.03.","1.01.01.03.003.","Dinamit"
"1.01.01.03.","1.01.01.03.004.","Gelatine"
"1.01.01.03.","1.01.01.03.005.","Sumbu Ledak/Api"
"1.01.01.03.","1.01.01.03.999.","Bahan Peledak Lainnya"
"1.01.01.04.","1.01.01.04.001.","Bahan Bakar Minyak"
"1.01.01.04.","1.01.01.04.002.","Minyak Pelumas"
"1.01.01.04.","1.01.01.04.003.","Minyak Hydrolis"
"1.01.01.04.","1.01.01.04.004.","Bahan Bakar Gas"
"1.01.01.04.","1.01.01.04.005.","Batubara"
"1.01.01.04.","1.01.01.04.999.","Bahan Bakar Dan Pelumas Lainnya"
"1.01.01.05.","1.01.01.05.001.","Kawat"
"1.01.01.05.","1.01.01.05.002.","Kayu"
"1.01.01.05.","1.01.01.05.003.","Logam/Metalorgi"
"1.01.01.05.","1.01.01.05.004.","Latex"
"1.01.01.05.","1.01.01.05.005.","Biji Plastik"
"1.01.01.05.","1.01.01.05.006.","Karet (Bahan Baku)"
"1.01.01.05.","1.01.01.05.999.","Bahan Baku Lainnya"
"1.01.01.06.","1.01.01.06.001.","Barang Dalam Proses"
"1.01.01.06.","1.01.01.06.999.","Barang Dalam Proses Lainnya"
"1.01.01.99.","1.01.01.99.999.","Bahan Lainnya"
"1.01.02.01.","1.01.02.01.001.","Suku Cadang Alat Angkutan Darat Bermotor"
"1.01.02.01.","1.01.02.01.002.","Suku Cadang Alat Angkutan Darat Tak Bermotor"
"1.01.02.01.","1.01.02.01.003.","Suku Cadang Alat Angkutan Apung Bermotor"
"1.01.02.01.","1.01.02.01.004.","Suku Cadang Alat Angkutan Apung Tak Bermotor"
"1.01.02.01.","1.01.02.01.005.","Suku Cadang Alat Angkutan Udara Bermotor"
"1.01.02.01.","1.01.02.01.999.","Suku Cadang Alat Angkutan Lainnya"
"1.01.02.02.","1.01.02.02.001.","Suku Cadang Alat Besar Darat"
"1.01.02.02.","1.01.02.02.002.","Suku Cadang Alat Besar Apung"
