KdPosting,Tahun,KURincianSD,Kd_Rincian,RincianSD,Kd_SubRinci,Anggaran,AnggaranPAK,AnggaranStlhPAK,Belanja,Kd_Keg,SumberDana,Kd_Desa,TglPosting
"2","2019","12.2009.00.00.00.4.1.1.01.01PAD","4.1.1.01.","4.1.1.01.PAD","01",1.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+06,"PDPT","12.2009.00.00.00.","PAD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.00.00.00.4.1.2.01.01PAD","4.1.2.01.","4.1.2.01.PAD","01",8.0000000000000000e+06,0.0000000000000000e+00,8.0000000000000000e+06,"PDPT","12.2009.00.00.00.","PAD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.00.00.00.4.1.3.01.01PAD","4.1.3.01.","4.1.3.01.PAD","01",2.0000000000000000e+06,0.0000000000000000e+00,2.0000000000000000e+06,"PDPT","12.2009.00.00.00.","PAD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.00.00.00.4.2.1.01.01DDS","4.2.1.01.","4.2.1.01.DDS","01",8.3955340000000000e+08,0.0000000000000000e+00,8.3955340000000000e+08,"PDPT","12.2009.00.00.00.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.00.00.00.4.2.2.01.01PBH","4.2.2.01.","4.2.2.01.PBH","01",4.7334710000000000e+08,0.0000000000000000e+00,4.7334710000000000e+08,"PDPT","12.2009.00.00.00.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.00.00.00.4.2.3.01.01ADD","4.2.3.01.","4.2.3.01.ADD","01",6.7110000000000000e+08,0.0000000000000000e+00,6.7110000000000000e+08,"PDPT","12.2009.00.00.00.","ADD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.00.00.00.4.2.4.01.01PBP","4.2.4.01.","4.2.4.01.PBP","01",1.2728800000000000e+08,0.0000000000000000e+00,1.2728800000000000e+08,"PDPT","12.2009.00.00.00.","PBP","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.00.00.00.6.1.1.01.01DLL","6.1.1.01.","6.1.1.01.DLL","01",1.2282780000000000e+06,0.0000000000000000e+00,1.2282780000000000e+06,"PBY","12.2009.00.00.00.","DLL","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.00.00.00.6.2.2.01.01DDS","6.2.2.01.","6.2.2.01.DDS","01",4.0000000000000000e+07,0.0000000000000000e+00,4.0000000000000000e+07,"PBY","12.2009.00.00.00.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.01.01.5.1.1.01.01ADD","5.1.1.01.","5.1.1.01.ADD","01",3.2400000000000000e+07,0.0000000000000000e+00,3.2400000000000000e+07,"BOP","12.2009.01.01.01.","ADD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.01.01.5.1.1.02.01ADD","5.1.1.02.","5.1.1.02.ADD","01",2.1600000000000000e+07,0.0000000000000000e+00,2.1600000000000000e+07,"BOP","12.2009.01.01.01.","ADD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.01.01.5.1.1.02.01PBP","5.1.1.02.","5.1.1.02.PBP","01",3.0000000000000000e+06,0.0000000000000000e+00,3.0000000000000000e+06,"BOP","12.2009.01.01.01.","PBP","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.01.02.5.1.2.01.01ADD","5.1.2.01.","5.1.2.01.ADD","01",1.7580000000000000e+08,0.0000000000000000e+00,1.7580000000000000e+08,"BOP","12.2009.01.01.02.","ADD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.01.02.5.1.2.02.01PBP","5.1.2.02.","5.1.2.02.PBP","01",1.2000000000000000e+07,0.0000000000000000e+00,1.2000000000000000e+07,"BOP","12.2009.01.01.02.","PBP","12.2009.","12/31/18 00:00:00"
