KdPosting,Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,Uraian,SumberDana,JmlSatuan,HrgSatuan,Satuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK
"2","2019","12.2009.","12.2009.00.00.00.","4.2.3.01.","01","01","Alokasi Dana Desa","ADD",1.0000000000000000e+00,6.7110000000000000e+08,"Tahun",6.7110000000000000e+08,1.0000000000000000e+00,6.7110000000000000e+08,6.7110000000000000e+08,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.01.","5.1.1.01.","01","01","Kepala Desa (1 Org)","ADD",1.2000000000000000e+01,2.7000000000000000e+06,"OB",3.2400000000000000e+07,1.2000000000000000e+01,2.7000000000000000e+06,3.2400000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.01.","5.1.1.02.","01","01","Beban Kerja Kepala Desa (1 Org)","ADD",1.2000000000000000e+01,1.8000000000000000e+06,"OB",2.1600000000000000e+07,1.2000000000000000e+01,1.8000000000000000e+06,2.1600000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.02.","5.1.2.01.","01","01","Sekretaris Desa (1 Org)","ADD",1.2000000000000000e+01,1.9000000000000000e+06,"OB",2.2800000000000000e+07,1.2000000000000000e+01,1.9000000000000000e+06,2.2800000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.02.","5.1.2.01.","01","02","Kepala Seksi (3 Org)","ADD",3.6000000000000000e+01,1.5000000000000000e+06,"OB",5.4000000000000000e+07,3.6000000000000000e+01,1.5000000000000000e+06,5.4000000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.02.","5.1.2.01.","01","03","Kepala Urusan (3 Org)","ADD",3.6000000000000000e+01,1.4000000000000000e+06,"OB",5.0400000000000000e+07,3.6000000000000000e+01,1.4000000000000000e+06,5.0400000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.02.","5.1.2.01.","01","04","Kepala Dusun (3 Org)","ADD",3.6000000000000000e+01,1.3500000000000000e+06,"OB",4.8600000000000000e+07,3.6000000000000000e+01,1.3500000000000000e+06,4.8600000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.05.","5.1.4.01.","01","01","Ketua (1 Org)","ADD",1.2000000000000000e+01,1.2000000000000000e+06,"OB",1.4400000000000000e+07,1.2000000000000000e+01,1.2000000000000000e+06,1.4400000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.05.","5.1.4.01.","01","02","Wakil Ketua (1 Org)","ADD",1.2000000000000000e+01,9.0000000000000000e+05,"OB",1.0800000000000000e+07,1.2000000000000000e+01,9.0000000000000000e+05,1.0800000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.05.","5.1.4.01.","01","03","Sekretaris (1 Org)","ADD",1.2000000000000000e+01,7.0000000000000000e+05,"OB",8.4000000000000000e+06,1.2000000000000000e+01,7.0000000000000000e+05,8.4000000000000000e+06,0.0000000000000000e+00
