Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,SumberDana,Uraian,Satuan,JmlSatuan,HrgSatuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK,Kode_SBU
"2019","12.2009.","12.2009.00.00.00.","4.2.3.01.","01","01","ADD","Alokasi Dana Desa","Tahun",1.0000000000000000e+00,6.7110000000000000e+08,6.7110000000000000e+08,1.0000000000000000e+00,6.7110000000000000e+08,6.7110000000000000e+08,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.01.","5.1.1.01.","01","01","ADD","Kepala Desa (1 Org)","OB",1.2000000000000000e+01,2.7000000000000000e+06,3.2400000000000000e+07,1.2000000000000000e+01,2.7000000000000000e+06,3.2400000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.01.","5.1.1.02.","01","01","ADD","Beban Kerja Kepala Desa (1 Org)","OB",1.2000000000000000e+01,1.8000000000000000e+06,2.1600000000000000e+07,1.2000000000000000e+01,1.8000000000000000e+06,2.1600000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.02.","5.1.2.01.","01","01","ADD","Sekretaris Desa (1 Org)","OB",1.2000000000000000e+01,1.9000000000000000e+06,2.2800000000000000e+07,1.2000000000000000e+01,1.9000000000000000e+06,2.2800000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.02.","5.1.2.01.","01","02","ADD","Kepala Seksi (3 Org)","OB",3.6000000000000000e+01,1.5000000000000000e+06,5.4000000000000000e+07,3.6000000000000000e+01,1.5000000000000000e+06,5.4000000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.02.","5.1.2.01.","01","03","ADD","Kepala Urusan (3 Org)","OB",3.6000000000000000e+01,1.4000000000000000e+06,5.0400000000000000e+07,3.6000000000000000e+01,1.4000000000000000e+06,5.0400000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.02.","5.1.2.01.","01","04","ADD","Kepala Dusun (3 Org)","OB",3.6000000000000000e+01,1.3500000000000000e+06,4.8600000000000000e+07,3.6000000000000000e+01,1.3500000000000000e+06,4.8600000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.05.","5.1.4.01.","01","01","ADD","Ketua (1 Org)","OB",1.2000000000000000e+01,1.2000000000000000e+06,1.4400000000000000e+07,1.2000000000000000e+01,1.2000000000000000e+06,1.4400000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.05.","5.1.4.01.","01","02","ADD","Wakil Ketua (1 Org)","OB",1.2000000000000000e+01,9.0000000000000000e+05,1.0800000000000000e+07,1.2000000000000000e+01,9.0000000000000000e+05,1.0800000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.05.","5.1.4.01.","01","03","ADD","Sekretaris (1 Org)","OB",1.2000000000000000e+01,7.0000000000000000e+05,8.4000000000000000e+06,1.2000000000000000e+01,7.0000000000000000e+05,8.4000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.05.","5.1.4.01.","01","04","ADD","Anggota (4 Org)","OB",4.8000000000000000e+01,5.5000000000000000e+05,2.6400000000000000e+07,4.8000000000000000e+01,5.5000000000000000e+05,2.6400000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.07.","5.2.2.90.","01","01","ADD","Ketua Rukun Warga (RW) 7 Org","OB",8.4000000000000000e+01,7.0000000000000000e+05,5.8800000000000000e+07,8.4000000000000000e+01,7.0000000000000000e+05,5.8800000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.07.","5.2.2.90.","01","02","ADD","Ketua Rukun Tetangga (RT) 30 Org","OB",3.6000000000000000e+02,6.5000000000000000e+05,2.3400000000000000e+08,3.6000000000000000e+02,6.5000000000000000e+05,2.3400000000000000e+08,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.1.1.01.","01","01","PAD","Bagi Hasil BUMDes","Tahun",1.0000000000000000e+00,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+00,1.0000000000000000e+06,1.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.1.2.01.","01","01","PAD","Hasil Pengelolaan Tanah Kas Desa","Tahun",1.0000000000000000e+00,8.0000000000000000e+06,8.0000000000000000e+06,1.0000000000000000e+00,8.0000000000000000e+06,8.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.1.3.01.","01","01","PAD","Swadaya, Partisipasi dan Gotong Royong","Tahun",1.0000000000000000e+00,2.0000000000000000e+06,2.0000000000000000e+06,1.0000000000000000e+00,2.0000000000000000e+06,2.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.03.04.02.","5.2.2.99.","01","01","ADD","Honorarium LPM","Paket",1.0000000000000000e+00,2.0000000000000000e+06,2.0000000000000000e+06,1.0000000000000000e+00,2.0000000000000000e+06,2.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.90","5.2.2.05.","01","01","ADD","Honorarium Petugas Ketertiban Masyarakat","OB",2.4000000000000000e+01,5.0000000000000000e+05,1.2000000000000000e+07,2.4000000000000000e+01,5.0000000000000000e+05,1.2000000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.03.04.90","5.2.2.99.","01","01","ADD","Honorarium Majlis Ulama Indonesia Desa","Paket",1.0000000000000000e+00,2.5000000000000000e+06,2.5000000000000000e+06,1.0000000000000000e+00,2.5000000000000000e+06,2.5000000000000000e+06,0.0000000000000000e+00,
