Tahun,Kd_Desa,No_SPP,Kd_Keg,No_Bukti,Kd_Rincian,Nilai
"2019","12.2009.","0026/SPP/12.2009/2019","12.2009.01.01.04.","00031/KWT/12.2009/2019","7.1.1.01.",5.1684800000000000e+05
"2019","12.2009.","0026/SPP/12.2009/2019","12.2009.01.01.04.","00031/KWT/12.2009/2019","7.1.1.03.",7.7527000000000000e+04
"2019","12.2009.","0026/SPP/12.2009/2019","12.2009.01.01.04.","00032/KWT/12.2009/2019","7.1.1.01.",3.0000000000000000e+06
"2019","12.2009.","0026/SPP/12.2009/2019","12.2009.01.01.04.","00032/KWT/12.2009/2019","7.1.1.03.",4.5000000000000000e+05
"2019","12.2009.","0027/SPP/12.2009/2019","12.2009.01.01.06.","00037/KWT/12.2009/2019","7.1.1.03.",2.2432000000000000e+04
"2019","12.2009.","0028/SPP/12.2009/2019","12.2009.01.02.01.","00038/KWT/12.2009/2019","7.1.1.01.",4.1818180000000000e+06
"2019","12.2009.","0028/SPP/12.2009/2019","12.2009.01.02.01.","00038/KWT/12.2009/2019","7.1.1.03.",6.2727300000000000e+05
"2019","12.2009.","0028/SPP/12.2009/2019","12.2009.01.02.01.","00039/KWT/12.2009/2019","7.1.1.01.",6.2752720000000000e+06
"2019","12.2009.","0028/SPP/12.2009/2019","12.2009.01.02.01.","00039/KWT/12.2009/2019","7.1.1.03.",9.4129100000000000e+05
"2019","12.2009.","0029/SPP/12.2009/2019","12.2009.02.02.09.","00041/KWT/12.2009/2019","7.1.1.03.",3.0000000000000000e+05
"2019","12.2009.","0029/SPP/12.2009/2019","12.2009.02.02.09.","00041/KWT/12.2009/2019","7.1.1.01.",2.0000000000000000e+06
"2019","12.2009.","0030/SPP/12.2009/2019","12.2009.02.03.15.","00044/KWT/12.2009/2019","7.1.1.01.",1.4545460000000000e+06
"2019","12.2009.","0030/SPP/12.2009/2019","12.2009.02.03.15.","00044/KWT/12.2009/2019","7.1.1.03.",2.1818200000000000e+05
"2019","12.2009.","0032/SPP/12.2009/2019","12.2009.03.04.03.","00047/KWT/12.2009/2019","7.1.1.01.",1.0000000000000000e+06
"2019","12.2009.","0032/SPP/12.2009/2019","12.2009.03.04.03.","00047/KWT/12.2009/2019","7.1.1.03.",1.5000000000000000e+05
"2019","12.2009.","0035/SPP/12.2009/2019","12.2009.02.03.14.","00065/KWT/12.2009/2019","7.1.1.01.",2.9022540000000000e+06
"2019","12.2009.","0035/SPP/12.2009/2019","12.2009.02.03.14.","00065/KWT/12.2009/2019","7.1.1.03.",4.3533800000000000e+05
"2019","12.2009.","0035/SPP/12.2009/2019","12.2009.02.03.14.","00068/KWT/12.2009/2019","7.1.1.04.",3.0000000000000000e+04
"2019","12.2009.","0035/SPP/12.2009/2019","12.2009.02.03.14.","00067/KWT/12.2009/2019","7.1.1.04.",1.0500000000000000e+04
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","00075/KWT/12.2009/2019","7.1.1.02.",7.5000000000000000e+04
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","00072/KWT/12.2009/2019","7.1.1.03.",4.7730000000000000e+03
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","00092/KWT/12.2009/2019","7.1.1.01.",1.3636400000000000e+05
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","00094/KWT/12.2009/2019","7.1.1.01.",3.8636400000000000e+05
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","00094/KWT/12.2009/2019","7.1.1.03.",5.7955000000000000e+04
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","00096/KWT/12.2009/2019","7.1.1.04.",2.0000000000000000e+04
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","00097/KWT/12.2009/2019","7.1.1.01.",3.4090900000000000e+05
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","00097/KWT/12.2009/2019","7.1.1.03.",5.1136000000000000e+04
