Tahun,Kd_Desa,No_SPP,Kd_Keg,Kd_Rincian,Kd_SubRinci,Sumberdana,Nilai
"2019","12.2009.","0028/SPP/12.2009/2019","12.2009.01.02.01.","5.3.2.03.","01","PBH",6.9027998000000000e+07
"2019","12.2009.","0028/SPP/12.2009/2019","12.2009.01.02.01.","5.3.2.04.","01","PBH",3.1000000000000000e+07
"2019","12.2009.","0029/SPP/12.2009/2019","12.2009.02.02.09.","5.2.1.09.","01","PBH",2.2000000000000000e+07
"2019","12.2009.","0030/SPP/12.2009/2019","12.2009.02.03.15.","5.3.4.01.","01","PBH",4.5000000000000000e+05
"2019","12.2009.","0030/SPP/12.2009/2019","12.2009.02.03.15.","5.3.4.02.","01","PBH",1.6000000000000000e+06
"2019","12.2009.","0030/SPP/12.2009/2019","12.2009.02.03.15.","5.3.4.03.","01","PBH",1.6000000000000000e+07
"2019","12.2009.","0031/SPP/12.2009/2019","12.2009.03.03.06.","5.2.2.99.","01","PBH",3.5000000000000000e+06
"2019","12.2009.","0032/SPP/12.2009/2019","12.2009.03.04.03.","5.2.1.01.","01","PBH",1.0000000000000000e+06
"2019","12.2009.","0032/SPP/12.2009/2019","12.2009.03.04.03.","5.2.1.09.","01","PBH",1.1000000000000000e+07
"2019","12.2009.","0033/SPP/12.2009/2019","12.2009.02.02.02.","5.2.2.05.","01","DDS",1.7200000000000000e+07
"2019","12.2009.","0034/SPP/12.2009/2019","12.2009.00.00.00.","6.2.2.01.","01","DDS",4.0000000000000000e+07
"2019","12.2009.","0035/SPP/12.2009/2019","12.2009.02.03.14.","5.3.5.01.","01","DDS",2.3200000000000000e+06
"2019","12.2009.","0035/SPP/12.2009/2019","12.2009.02.03.14.","5.3.5.02.","01","DDS",2.4000000000000000e+07
"2019","12.2009.","0035/SPP/12.2009/2019","12.2009.02.03.14.","5.3.5.03.","01","DDS",3.2774800000000000e+07
"2019","12.2009.","0035/SPP/12.2009/2019","12.2009.02.03.14.","5.3.5.04.","01","DDS",2.0250000000000000e+06
"2019","12.2009.","0036/SPP/12.2009/2019","12.2009.01.03.02.","5.2.2.01.","01","DDS",1.5000000000000000e+07
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","5.2.1.01.","01","DDS",1.4000000000000000e+05
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","5.2.1.05.","01","DDS",3.2500000000000000e+05
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","5.2.1.06.","01","DDS",3.5000000000000000e+05
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","5.2.1.09.","01","DDS",1.5750000000000000e+06
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","5.2.2.01.","01","DDS",2.5000000000000000e+05
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","5.2.2.04.","01","DDS",2.0000000000000000e+06
"2019","12.2009.","0037/SPP/12.2009/2019","12.2009.04.03.03.","5.2.2.99.","01","DDS",1.0500000000000000e+06
"2019","12.2009.","0038/SPP/12.2009/2019","12.2009.01.01.01.","5.1.1.01.","01","ADD",2.7000000000000000e+06
"2019","12.2009.","0038/SPP/12.2009/2019","12.2009.01.01.01.","5.1.1.02.","01","ADD",1.8000000000000000e+06
"2019","12.2009.","0039/SPP/12.2009/2019","12.2009.01.01.02.","5.1.2.01.","01","ADD",1.4650000000000000e+07
