UserID,Kd_Kec,Kd_Desa
"ÖÒÎÛÊ","09","09.2009."
"æÞÚÙÓ§˜ÜÞ","09","09.2010."
"åÊÕÅÓœ’","09","09.2011."
"æÊØÅÎ”’ÕÙ","09","09.2012."
"çÊßÍÏ™˜ÜÞÙâáÐÔÓÉ","09","09.2013."
"ßÎÔÓÌš¦ÕÛ","09","09.2014."
"ãÊàÅØ“™ÈàÆáìÊß","10","10.2001."
"ãÊàÅØ“™Èà","10","10.2002."
"æÊäÅÉ¦ÓáÓ","10","10.2003."
"ÖÒÕÉÓ“ŸÎ","10","10.2004."
"ÖÒÑÅÉ§","10","10.2005."
"ãÊàÅØ“™ÈàÐÜ×ÞÙ","10","10.2006."
"ÞÎßØÂœ’àÓ","10","10.2007."
"ßÎÏÅÌ“ŸàÓ×","10","10.2008."
"àÊßËÂ¥’ÙÛ","10","10.2010."
"êÊßÙÏ™œÈÖÚ","10","10.2011."
"ÖÒÕÙÏ›","10","10.2012."
"æÎÙÅÂ©š","10","10.2009."
"ÕØ×ÓÏ™“ÈäÆç","11","11.2001."
"ÕØ×ÓÏ™¥ÐßÚå","11","11.2002."
"ÖÒØÉÓ›¤","11","11.2003."
"ÖÒÕÅÏœ’ÞÓ×","11","11.2004."
"ÖÒÝÉÖ •ÌçÞ","11","11.2005."
"ÖÒÙÉÖ ”È","11","11.2006."
"ÖÒÏÍÏ™“Ðà","11","11.2007."
"ÞÎßØÂ¥’ÙÛ","11","11.2008."
"ãÊÛËÌ“Èà","11","11.2009."
"ãÊäÉÏ“ŸÎ","11","11.2010."
"æÞØÅÎ“ŸÈÚ","11","11.2011."
"æÒÛÈÂ ˜×ÓÓâá","11","11.2012."
"æÒÛÈÂ ˜ÚÓ×ÜÕÓÔ","11","11.2013."
"ãÊÛ×Â ˜ÎäÆÛÔ×ÏÎÈ","11","11.2014."
"ÖÒÙÅÏ™œÈâ","12","12.2001."
"ÖÒÐÅÅ“¤","12","12.2002."
"ÛÎÔÅÓŸ’ÕÓÍ","12","12.2003."
"ÕÊÏÅÌ“ŸÊÛÐÔâ","12","12.2004."
"ÞÊÑÙÎ—œÈä","12","12.2005."
"àÊßÅÄ“ŸÎ","12","12.2006."
"ÖÒäÅÓ—ŸÎ","12","12.2007."
"àÞÙÝÂŸ–ÒÓ×","12","12.2008."
"ÖÒÔÉÍ“ž","12","12.2009."
"ÖÒäÅÏ™š","13","13.2001."
"ÖÒÏÉÏ›ŸÎ","13","13.2002."
"ÕÞÛËÖ¤¤ÈäÎ","13","13.2003."
